distrito,total_personas,total_hogares
Alto Vera,11503,3414
Bella Vista,10447,3378
Cambyreta,47717,14002
Capitan Meza,9253,2948
Capitan Miranda,9528,3056
Carlos A Lopez,13792,4168
Carmen Del Parana,6417,2029
Coronel Bogado,17192,5680
Edelira,17362,5461
Encarnacion,106842,33850
Fram,8357,2632
Gral Artigas,8623,2874
Gral. Delgado,5695,1934
Hohenau,12809,4276
Isla,9273,2768
Isla Yacyreta,0,0
Jesus,5197,1692
La Paz,2669,834
Leandro Oviedo,2417,853
Mayor Otano,10101,3024
Natalio,14865,4697
Nueva Alborada,4896,1513
Obligado,13606,4340
Pirapo,6075,1807
San Cosme Y Damian,7397,2343
San Juan,9083,2809
San Pedro Del Parana,22318,7213
San Rafael Del Parana,14166,4349
Tomas Romero P.,25419,7912
Trinidad,7972,2494
Yatytay,8651,2804
